variavel,lag_passos,lag_horas,correlacao,n,safra,line
env_temperature,1,0.16666666666666666,0.9977950141785863,17085,2025,4
env_temperature,2,0.3333333333333333,0.9935165062709647,17079,2025,4
env_temperature,3,0.5,0.9878570487873226,17071,2025,4
env_temperature,4,0.6666666666666666,0.9808871422288451,17064,2025,4
env_temperature,5,0.8333333333333334,0.9727684094802026,17057,2025,4
env_temperature,6,1.0,0.9635359329725517,17051,2025,4
env_temperature,7,1.1666666666666667,0.9533148124638223,17044,2025,4
env_temperature,8,1.3333333333333333,0.9421206537246715,17042,2025,4
env_temperature,9,1.5,0.9300375908643047,17033,2025,4
env_temperature,10,1.6666666666666667,0.9173183379184625,17032,2025,4
env_temperature,11,1.8333333333333333,0.9038864953988186,17024,2025,4
env_temperature,12,2.0,0.8896524309174826,17017,2025,4
env_temperature,13,2.1666666666666665,0.8747598411015564,17008,2025,4
env_temperature,14,2.3333333333333335,0.8593466665993401,17001,2025,4
env_temperature,15,2.5,0.843381272626094,16996,2025,4
env_temperature,16,2.6666666666666665,0.8268432533387725,16990,2025,4
env_temperature,17,2.8333333333333335,0.8099429660075189,16984,2025,4
env_temperature,18,3.0,0.7925213353595812,16979,2025,4
env_temperature,19,3.1666666666666665,0.7746744363577788,16976,2025,4
env_temperature,20,3.3333333333333335,0.7561370258067199,16967,2025,4
env_temperature,21,3.5,0.7373282034382779,16964,2025,4
env_temperature,22,3.6666666666666665,0.71825715054994,16961,2025,4
env_temperature,23,3.8333333333333335,0.6989732130050458,16955,2025,4
env_temperature,24,4.0,0.6794087262332504,16953,2025,4
env_temperature,25,4.166666666666667,0.6595763659951681,16953,2025,4
env_temperature,26,4.333333333333333,0.6395076694830809,16941,2025,4
env_temperature,27,4.5,0.6192307058093333,16939,2025,4
env_temperature,28,4.666666666666667,0.5987769765325481,16938,2025,4
env_temperature,29,4.833333333333333,0.5783838846277765,16930,2025,4
env_temperature,30,5.0,0.5577050424028427,16931,2025,4
env_temperature,31,5.166666666666667,0.5370197720873104,16929,2025,4
env_temperature,32,5.333333333333333,0.5160727680674667,16931,2025,4
env_temperature,33,5.5,0.4950821077145606,16921,2025,4
env_temperature,34,5.666666666666667,0.4739170596066685,16919,2025,4
env_temperature,35,5.833333333333333,0.4526797505677151,16918,2025,4
env_temperature,36,6.0,0.4312884047231446,16913,2025,4
env_temperature,37,6.166666666666667,0.4099647688416071,16915,2025,4
env_temperature,38,6.333333333333333,0.38871338379152826,16911,2025,4
env_temperature,39,6.5,0.36783704009797324,16914,2025,4
env_temperature,40,6.666666666666667,0.3469161429741533,16906,2025,4
env_temperature,41,6.833333333333333,0.3263784184197994,16903,2025,4
env_temperature,42,7.0,0.30592810143754456,16900,2025,4
env_temperature,43,7.166666666666667,0.28535723939118074,16901,2025,4
env_temperature,44,7.333333333333333,0.26546425698164944,16896,2025,4
env_temperature,45,7.5,0.24565838615250282,16892,2025,4
env_temperature,46,7.666666666666667,0.2258506995942815,16888,2025,4
env_temperature,47,7.833333333333333,0.20638674270112226,16883,2025,4
env_temperature,48,8.0,0.1875746453080157,16880,2025,4
env_temperature,49,8.166666666666666,0.16896429613041494,16878,2025,4
env_temperature,50,8.333333333333334,0.1509286636967869,16877,2025,4
env_temperature,51,8.5,0.13320577852421658,16876,2025,4
env_temperature,52,8.666666666666666,0.11604741166661255,16868,2025,4
env_temperature,53,8.833333333333334,0.09926719482271039,16866,2025,4
env_temperature,54,9.0,0.08294016706841728,16867,2025,4
env_temperature,55,9.166666666666666,0.06708260082104821,16862,2025,4
env_temperature,56,9.333333333333334,0.05182020859250036,16858,2025,4
env_temperature,57,9.5,0.03736859601392162,16853,2025,4
env_temperature,58,9.666666666666666,0.023645461038635344,16853,2025,4
env_temperature,59,9.833333333333334,0.010530950160369824,16850,2025,4
env_temperature,60,10.0,-0.001715649038831476,16850,2025,4
env_temperature,61,10.166666666666666,-0.01328304262541906,16846,2025,4
env_temperature,62,10.333333333333334,-0.024095836437757773,16842,2025,4
env_temperature,63,10.5,-0.03367589290823479,16838,2025,4
env_temperature,64,10.666666666666666,-0.04269716616068058,16835,2025,4
env_temperature,65,10.833333333333334,-0.05094881046525272,16830,2025,4
env_temperature,66,11.0,-0.058019395709362875,16825,2025,4
env_temperature,67,11.166666666666666,-0.06441311410420161,16825,2025,4
env_temperature,68,11.333333333333334,-0.06934055708784972,16824,2025,4
env_temperature,69,11.5,-0.07369737653433939,16818,2025,4
env_temperature,70,11.666666666666666,-0.07701486089031262,16817,2025,4
env_temperature,71,11.833333333333334,-0.07936052269485602,16818,2025,4
env_temperature,72,12.0,-0.08041682066493469,16814,2025,4
env_temperature,73,12.166666666666666,-0.08067164619885857,16812,2025,4
env_temperature,74,12.333333333333334,-0.07967587368074493,16812,2025,4
env_temperature,75,12.5,-0.07794120879174632,16807,2025,4
env_temperature,76,12.666666666666666,-0.07481466488827881,16810,2025,4
env_temperature,77,12.833333333333334,-0.07120998111773646,16807,2025,4
env_temperature,78,13.0,-0.0662419751015292,16801,2025,4
env_temperature,79,13.166666666666666,-0.06018237899709757,16804,2025,4
env_temperature,80,13.333333333333334,-0.0533223040276861,16798,2025,4
env_temperature,81,13.5,-0.04536272662470642,16797,2025,4
env_temperature,82,13.666666666666666,-0.03649774640282927,16799,2025,4
env_temperature,83,13.833333333333334,-0.02685727335465428,16798,2025,4
env_temperature,84,14.0,-0.01665703987208463,16793,2025,4
env_temperature,85,14.166666666666666,-0.0054896678907329684,16790,2025,4
env_temperature,86,14.333333333333334,0.006371403690479386,16792,2025,4
env_temperature,87,14.5,0.01897491764686244,16786,2025,4
env_temperature,88,14.666666666666666,0.03211910043131564,16792,2025,4
env_temperature,89,14.833333333333334,0.046182132540470947,16788,2025,4
env_temperature,90,15.0,0.060674526217724734,16783,2025,4
env_temperature,91,15.166666666666666,0.07572853799159394,16779,2025,4
env_temperature,92,15.333333333333334,0.09117729709505926,16780,2025,4
env_temperature,93,15.5,0.10711841513049944,16775,2025,4
env_temperature,94,15.666666666666666,0.12351465183602335,16777,2025,4
env_temperature,95,15.833333333333334,0.14026344015102774,16772,2025,4
env_temperature,96,16.0,0.15709012806505993,16768,2025,4
env_temperature,97,16.166666666666668,0.1746742832956179,16769,2025,4
