safra,line,lag_passos,lag_horas,pearson,spearman,n,delta_umidade_media,delta_umidade_mediana
2025,4,1,0.16666666666666666,0.0009062310917981332,-0.03278825329517971,16814,-0.006704234566432734,0.0
2025,4,3,0.5,0.0006123881404854283,-0.08538110516737855,16147,-0.01304019322474763,0.0
2025,4,6,1.0,0.001280888389957995,-0.10113625033070404,15226,-0.021220937869433847,0.0
2025,4,12,2.0,0.01048513057319834,-0.08910311450332531,13598,-0.03483674069716131,0.0
2025,4,18,3.0,0.02024607402736519,-0.06304592144279285,12198,-0.03883013608788322,-0.02499999999999858
2025,4,36,6.0,0.03243638404897689,0.029916127126144467,9097,0.015824997251841295,-0.040000000000000036
2025,4,72,12.0,0.02716997649126115,0.07622759776791578,5446,0.15722365038560399,-0.07000000000000028
2025,4,144,24.0,-0.12369087701977685,-0.180298228982514,2169,0.5757676348547716,-0.07000000000000006
2025,3,1,0.16666666666666666,-0.05169515892441881,-0.18033797580644054,16218,-0.017620853372795665,0.0
2025,3,3,0.5,-0.09598653854296785,-0.21435784132568594,15235,-0.04629438792254677,0.0
2025,3,6,1.0,-0.1139797299860786,-0.19827985842238496,13875,-0.07337273273273275,0.0
2025,3,12,2.0,-0.09930141023146812,-0.13713884929831505,11624,-0.0992340559761413,-0.030000000000000027
2025,3,18,3.0,-0.05667566257210433,-0.07173090363713165,9834,-0.09588536370415567,-0.030000000000001137
2025,3,36,6.0,0.017483312590555588,0.05084864454768796,6388,0.03606893132957627,-0.03500000000000014
2025,3,72,12.0,0.1117007378885,0.17787503941239255,3074,0.26556874864454566,-0.030000000000000027
2025,3,144,24.0,-0.30906235673427146,-0.4281859623749458,979,0.5686363636363637,-0.025000000000000133
2025,1,1,0.16666666666666666,-0.009593626506913743,-0.03171314053045788,16469,-0.006919060052219323,0.0
2025,1,3,0.5,-0.020852788759873196,-0.03642394448004969,15599,-0.01793095711263543,0.0
2025,1,6,1.0,-0.031189984391921888,-0.015001781925005023,14438,-0.035631666435794435,0.0
2025,1,12,2.0,-0.04191427899386804,0.018330351840290644,12542,-0.065931669590177,-0.020000000000003126
2025,1,18,3.0,-0.05709180809306405,0.031040800183171877,10991,-0.09347102174506411,-0.030000000000001137
2025,1,36,6.0,-0.06758160448723584,0.0700524326640898,7802,-0.1402255831837989,-0.05500000000000016
2025,1,72,12.0,-0.026002183295825196,-0.012458564172121454,4345,-0.020369390103567184,-0.08499999999999996
2025,1,144,24.0,-0.060906217254300614,-0.09267167230071725,1577,0.5381198478123016,-0.03000000000000025
2025,2,1,0.16666666666666666,-0.001070934985448471,0.023639637641820206,16472,-0.0038774890723652284,0.0
2025,2,3,0.5,-0.0008227986941315099,0.07350611140354683,15553,-0.005301871021667856,0.0
