lag_horas,pearson_medio,pearson_mediano,spearman_medio,spearman_mediano,series_validas,amostras_total
0.16666666666666666,-0.03781356312964754,-0.019634424454616526,-0.08993623839949232,-0.09153686798392938,12,121900
0.5,-0.05682916293028197,-0.02122666719196159,-0.09501137750577997,-0.12989406544593599,12,115733
1.0,-0.07465800652970747,-0.038398375342195645,-0.07719786848498193,-0.13560612908623645,12,107277
2.0,-0.0800044284700378,-0.03119502948493687,-0.03704066057809057,-0.11312098190082018,12,92701
3.0,-0.07370835795378015,-0.02752250277246033,-0.007288165012767851,-0.06672276282325969,12,80334
6.0,-0.07960985482750814,-0.03982118921943566,0.01942810719368397,0.0476246500336657,12,52774
12.0,-0.024204749619718007,-0.024053609173509946,0.0287841663495547,0.03188451679789717,12,25290
24.0,-0.21134226579398482,-0.2577927759871927,-0.17457362846852306,-0.17172815870371488,10,7576
